2,Bd Delingan,"-7.591830326086237,110.98511787364262",13,2019-12-20 04:25:30.424023+00,,,,,,,,
4,Bd Nawangan,"-8.075843461651793,110.91410636901857",13,2019-12-20 04:33:10.125536+00,,,,,,,,
10,Batu Busuak Kuranji TMA,"-0.9132213143970875,100.45253098011017",12,2020-03-16 18:22:29.153025+00,,,,,,,,
11,1910-26,,15,2020-06-26 23:17:26.3264+00,,,,,,,,
12,1910-27,,15,2020-07-11 03:13:09.322499+00,,,,,,,,
14,ARR,,15,2020-07-11 03:22:26.464131+00,,,,,,,,
15,TOR30_sidoharjo,"-7.4553529346497065,110.96754670143127",16,2020-07-18 04:33:27.562888+00,,,,,,,,
16,jarum,"",1,2020-08-26 11:46:39.334621+00,,,,,,,,
17,Marabahan,"",15,2020-10-07 07:44:48.253732+00,,,,2020-10-07 09:10:00+00,2020-10-07 09:03:20+00,,,
19,ARR Klimat Nongsa,"",7,2020-10-24 01:37:09.168168+00,,1,63.85,,,,,
25,AWLR Sei Jeram Bintan,"",7,2020-10-24 01:44:06.778743+00,,2,33.12,2020-11-03 02:15:00+00,2020-10-28 02:15:00+00,,,
3,Bd Ketro,"-7.384235103019288,110.90025465258805",13,2019-12-20 04:29:07.820968+00,,2,119.72,,,,,
5,Dompu,"-8.528102587795594,118.466342350348",14,2019-12-23 06:39:43.191476+00,,1,,,,,,
8,1910-22,"",12,2019-12-27 08:57:56.61536+00,,1,,,,,,
9,Jurang Malang,"-8.527558193588472,116.27535846901084",14,2020-01-06 01:25:55.696137+00,,1,,,,,,
27,Monterado,"",10,2020-12-16 05:25:55.058065+00,,,,,,,,
28,Ngabang,"",10,2020-12-16 05:36:06.72035+00,,,,,,,,
30,Nanga Tepuai,"",10,2020-12-16 09:02:19.078865+00,,,,,,,,
33,Klandasan Hilir,"-1.276668750940336,116.84035062789918",19,2021-01-01 03:05:11.41904+00,,2,7,,,,2,hilir
34,Kantor Desa Sobokerto,"-7.503663364454161,110.73523521423341",4,2021-01-22 00:21:23.253805+00,,1,,,,,3,
31,Kantor Kelurahan Karang Rejo,"-1.2268130227320158,116.87075614929199",19,2020-12-28 09:47:21.544196+00,,1,22,,,,2,hulu
32,Klandasan Hulu,"-1.2546586,116.8383443",19,2021-01-01 03:04:01.454207+00,,2,18,,,,2,hulu
35,Pos Curah Hujan BWS Sulawesi III,"-0.9195076082394211,119.89794015884401",22,2021-03-14 06:05:28.072045+00,,1,70,,,,4,hilir
37,Kretek Bridge-Bantul,"-8.008334,110.295724",21,2021-03-15 04:07:48.514561+00,,2,8,,,,5,hilir
42,"POS CURAH HUJAN BASARANG, KAB. KAPUAS","-2.9576824314151966,114.31051790714265",24,2021-06-22 03:40:36.992867+00,,1,,,,,8,
38,Depok-Bantul,"-8.008752,110.296150",21,2021-03-29 09:57:39.927147+00,,4,8,,,,5,hilir
39,Giriwoyo,"-8.02610004,110.948",1,2021-04-16 07:59:15.776023+00,,1,,,,,,hulu
40,Kintap,"",15,2021-04-26 07:00:17.234832+00,,1,,,,,,
41,"POS CURAH HUJAN JABIREN, KAB. PULANG PISAU","-2.494829725708035,114.19508635997774",24,2021-06-22 03:07:10.358276+00,,1,,,,,11,hilir
61,"POS CURAH HUJAN KUALA PEMBUANG, KAB. SERUYAN","-3.365, 112,546",24,2021-10-07 02:57:38.830215+00,,1,,,,,12,hilir
43,"POS DUGA AIR KUALA KURUN, KAB. GUNUNG MAS","-1.1039932842958728,113.87229323387147",24,2021-06-22 07:26:12.052056+00,,2,,,,,11,tengah
29,Semuntai,"",10,2020-12-16 08:58:43.782869+00,,,,2021-06-04 07:00:00+00,2021-06-03 23:45:00+00,,,
45,"POS CURAH HUJAN PERIGI, KAB. KATINGAN","-2.851, 113.276",24,2021-09-28 04:32:28.652092+00,,1,,,,,,hilir
20,ARR Batubi Natuna,"",7,2020-10-24 01:38:07.784139+00,,1,65.23,2021-06-04 07:10:00+00,2021-05-31 11:13:20+00,,,
6,Gunung Nago,"-0.924233048801071,100.43448507785799",12,2019-12-24 10:29:59.521244+00,,1,44330,2021-06-04 07:15:00+00,2021-04-30 10:08:20+00,,,
24,AWLR Waduk Sei Jago,"",7,2020-10-24 01:42:37.874017+00,,2,54.98,2021-06-04 07:10:00+00,2021-06-04 03:25:00+00,,,
23,AWRL Waduk Sekanak 1,"",7,2020-10-24 01:41:44.784944+00,,2,37.71,2021-06-04 07:10:00+00,2021-05-31 04:21:40+00,,,
22,ARR Klimat Sri Bintan,"",7,2020-10-24 01:40:27.606147+00,,1,75.7,2021-06-04 07:10:00+00,2021-02-24 10:03:20+00,,,
21,AWLR Kolong Enam Bintan,"",7,2020-10-24 01:39:11.421922+00,,2,55.32,2021-06-04 07:15:00+00,2021-06-01 09:51:40+00,,,
26,ARR Sei Jago Bintan,"",7,2020-10-24 01:45:42.231567+00,,1,32.28,2021-06-04 07:15:00+00,2021-06-03 17:03:20+00,,,
7,Chatib Sulaiman,"-0.910791540874829,100.35615384578706",12,2019-12-24 10:30:47.768399+00,,1,71.53,2021-06-04 07:05:00+00,2021-05-27 02:03:20+00,,,
1,kalipepe-PTPN,"-7.566349906022428,110.8302367063516",1,2019-12-16 22:01:27.992413+00,,2,112.66,2021-06-04 07:20:00+00,2021-03-22 05:30:00+00,,,
18,ARR Sekanak 2,"103.879170, 1.147229",7,2020-10-24 01:22:49.400875+00,,1,45.56,2021-06-04 07:15:00+00,2021-03-16 06:51:50+00,,,
51,PCH Bantuil,"-3.0165769506866523,114.77676315402986",15,2021-09-30 03:00:43.964367+00,,1,,,,,9,tengah
52,PCH Padang Panjang,"-3.4685774133966247,114.9206990003586",15,2021-09-30 03:09:49.910053+00,,1,,,,,9,
54,Dawuhan Sengon,"-7.846699,112.784017",25,2021-09-30 05:40:34.263143+00,,1,764,,,,10,hulu
36,Depok-Bantul,"-8.008752,110.296150",21,2021-03-15 03:52:05.464728+00,,1,8,2021-03-23 07:05:00+00,2021-03-21 09:25:02+00,,5,hilir
57,Klimatologi Kintap,"-3.8510666380151153,115.20958900451662",15,2021-10-01 01:45:58.274916+00,,1,,,,,9,
50,"POS CURAH HUJAN KOTA BESI, KAB. KOTAWARINGIN TIMUR","-2.4, 112.981",24,2021-09-28 07:03:55.67179+00,,1,,,,,6,hilir
13,PDA Marabahan,"-2.9809708343453156,114.77973014116289",15,2020-07-11 03:21:58.288906+00,,2,,,,,9,hilir
59,PDA Mengkauk,"-3.2646048200857067,115.12023925781251",15,2021-10-01 08:52:45.231873+00,,2,,,,,9,
60,"POS CURAH HUJAN BATU BADINDING, KAB. KATINGAN","-1.426, 113.046",24,2021-10-05 01:33:42.426135+00,,1,,,,,7,hulu
48,"POS CURAH HUJAN MALIKU, KAB. PULANG PISAU","-2.958, 114.156",24,2021-09-28 06:58:54.816286+00,,1,,,,,11,hilir
44,"POS CURAH HUJAN TBG. HIRAN, MARIKIT","-1.19, 112.695",24,2021-09-28 04:20:13.268558+00,,1,,,,,7,hulu
49,"POS CURAH HUJAN TAKARAS, KAB. GUNUNG MAS","-1.586, 113.62",24,2021-09-28 07:02:31.829841+00,,1,,,,,11,tengah
46,"POS CURAH HUJAN TBG. MANGKUP, KAB. KOTAWARINGIN TIMUR","-1.801, 112.59",24,2021-09-28 04:34:52.438865+00,,1,,,,,6,tengah
47,"POS DUGA AIR PUJON, KAB. KAPUAS","-1.34, 114,358",24,2021-09-28 04:38:17.285413+00,,2,,,,,8,hulu
64,nguwer,"",16,2021-12-03 06:12:51.939587+00,,2,80,,,,,tengah
65,mentawai,"-2.2310338905883143,99.65698242187501",12,2021-12-09 03:56:54.585523+00,,1,,,,,,
66,"POS DUGA AIR KASONGAN, KAB. KATINGAN","-1.907, 113,384",24,2021-12-14 09:13:43.276701+00,,2,,,,,7,tengah
67,Muara siberut,"",12,2021-12-19 01:00:30.486777+00,,,,,,,,
68,Muara Siberut,"",12,2021-12-19 11:22:04.818394+00,,,,,,,,
69,Pos Curah Hujan Pakan RAbaa,"",12,2021-12-20 09:43:39.617817+00,,,,,,,,
70,Pos Curah Hujan Pakan Rabaa,"",12,2021-12-20 09:44:36.280473+00,,,,,,,,
71,Beller,"-1.2611178904160534,116.86170101165771",19,2021-12-27 20:50:25.350791+00,,,,,,,,
58,PDA Mengkauk,"-3.265876768315124,115.12055523681642",15,2021-10-01 08:43:00.089434+00,,1,,,,,9,
55,PDA Gudang Tengah,"-3.3275324590961053,114.71404552459718",15,2021-10-01 01:32:36.595272+00,,1,,,,,9,
53,PDA Marabahan,"-2.9785670576327457,114.77710425853729",15,2021-09-30 03:20:49.966607+00,,2,,,,,,
62,PDA Astambul,"",15,2021-10-26 01:07:28.025248+00,,1,,,,,9,
56,PDA Aluh-Aluh,"-3.4572,114.525666666667",15,2021-10-01 01:37:28.13694+00,,1,,,,,9,
72,Wonorejo ARR,"-1.2316334353243579,116.85694813728334",19,2021-12-27 20:53:14.866391+00,,,,,,,,
73,Telogosari ARR,"-1.268758,116.83530",19,2021-12-27 21:00:37.47912+00,,,,,,,,
74,Wonorejo AWLR,"-1.2312493814233405,116.85715198516846",19,2021-12-27 21:16:06.565542+00,,,,,,,,
75,Telogosari AWLR,"-1.268758,116.835038",19,2021-12-27 21:42:58.786077+00,,,,,,,,
76,Bendali 2,"-1.233300,116.901081",19,2021-12-27 22:21:59.722741+00,,,,,,,,
77,Pos hujan  tikarang pasaman,"",12,2022-01-03 07:04:01.096313+00,,,,,,,,
78,PCH Tabunio,"-3.7583333333333333,  114.61194444444443",15,2022-01-05 03:20:01.998896+00,,1,,,,,13,hilir
79,PCH Batu Ampar,"-3.903888888888889, 114.90361111111112",15,2022-01-05 03:26:38.50101+00,,1,,,,,9,tengah
80,PCH Lok Bangkai,"-2.417120, 115.267061",15,2022-01-05 03:29:31.211301+00,,1,,,,,9,tengah
81,PCH Ati'im,"-3.2852777777777700, 115.14250000000001",15,2022-01-05 03:31:35.218489+00,,1,,,,,9,tengah
83,PCH Dahai,"-2.269470, 115.481266",15,2022-01-05 03:38:38.685436+00,,1,,,,,9,tengah
84,Pos hujan sipora,"",12,2022-01-10 07:54:40.751479+00,,,,,,,,
63,PCH Pandak Daun,"-2.9433333333333334, 115.11222222222221",15,2021-12-03 05:39:40.559545+00,,1,,,,,9,tengah
82,PCH Serawi,"-2.605, 115.09694444444400",15,2022-01-05 03:37:01.89612+00,,1,,,,,9,tengah
85,Pos hujan Sikakap,"",12,2022-01-26 02:08:29.241697+00,,,,,,,,
86,PDA Gudang Tengah,,15,2022-03-01 07:41:56.808265+00,,,,,,,,
87,PDA Loksado,,15,2022-03-01 07:48:43.233212+00,,,,,,,,
89,PDA Kandui,,15,2022-03-10 04:42:45.814521+00,,,,,,,,
90,PDA Astambul,,15,2022-03-10 04:42:58.812845+00,,,,,,,,
88,PDA Loksado,"",15,2022-03-01 07:48:50.503274+00,,1,,,,,,
